iter	Passed	Remaining
639	84051	178608
640	84197	178508
641	84332	178386
642	84465	178258
643	84607	178148
644	84734	178008
645	84882	177911
646	85002	177755
647	85126	177609
648	85287	177540
649	85437	177446
650	85568	177315
651	85710	177204
652	85866	177124
653	86000	176998
654	86128	176858
655	86258	176724
656	86405	176625
657	86538	176496
658	86695	176417
659	86846	176323
660	86978	176193
661	87109	176061
662	87247	175943
663	87377	175807
664	87509	175676
665	87639	175541
666	87762	175394
667	87892	175258
668	88014	175107
669	88134	174952
670	88264	174818
671	88403	174701
672	88529	174559
673	88669	174443
674	88811	174333
675	88941	174198
676	89067	174057
677	89214	173954
678	89341	173814
679	89482	173701
680	89620	173582
681	89749	173445
682	89869	173290
683	89995	173149
684	90120	173005
685	90266	172900
686	90408	172789
687	90563	172702
688	90713	172605
689	90854	172491
690	90979	172346
691	91100	172196
692	91241	172082
693	91367	171939
694	91495	171800
695	91623	171663
696	91781	171579
697	91929	171477
698	92053	171332
699	92180	171192
700	92311	171059
701	92453	170946
702	92575	170797
703	92729	170705
704	92853	170560
705	92976	170412
706	93121	170306
707	93256	170180
708	93402	170074
709	93528	169932
710	93662	169804
711	93802	169688
712	93942	169570
713	94067	169426
714	94193	169284
715	94320	169143
716	94444	168999
717	94568	168852
718	94709	168739
719	94842	168608
720	94963	168458
721	95096	168329
722	95209	168164
723	95355	168056
724	95495	167940
725	95620	167796
726	95756	167671
727	95885	167535
728	96014	167399
729	96135	167250
730	96259	167104
731	96414	167013
732	96542	166875
733	96689	166769
734	96822	166640
735	96961	166521
736	97087	166378
737	97208	166228
738	97337	166093
739	97478	165976
740	97607	165840
741	97741	165713
742	97877	165587
743	98009	165457
744	98145	165332
745	98266	165182
746	98406	165065
747	98529	164918
748	98655	164776
749	98796	164660
750	98918	164513
751	99040	164365
752	99195	164272
753	99329	164143
754	99499	164075
755	99635	163949
756	99776	163833
757	99911	163706
758	100035	163562
759	100162	163422
760	100287	163279
761	100408	163130
762	100544	163005
763	100676	162874
764	100801	162731
765	100937	162607
766	101068	162473
767	101207	162354
768	101336	162218
769	101474	162095
770	101605	161963
771	101728	161816
772	101853	161674
773	101979	161533
774	102115	161409
775	102249	161280
776	102387	161157
777	102518	161024
778	102661	160910
779	102805	160798
780	102933	160660
781	103064	160527
782	103200	160402
783	103328	160263
784	103470	160147
785	103605	160021
786	103746	159903
787	103877	159771
788	104008	159638
789	104128	159488
790	104260	159356
791	104386	159215
792	104511	159074
793	104637	158932
794	104768	158800
795	104883	158643
796	104998	158485
797	105120	158338
798	105243	158194
799	105384	158076
800	105513	157941
801	105644	157808
802	105768	157664
803	105899	157532
804	106031	157400
805	106172	157282
806	106315	157167
807	106445	157033
808	106575	156899
809	106696	156752
810	106820	156608
811	106935	156453
812	107086	156348
813	107227	156230
814	107370	156115
815	107512	155998
816	107636	155855
817	107763	155717
818	107882	155566
819	108007	155426
820	108147	155305
821	108268	155158
822	108396	155020
823	108524	154884
824	108656	154752
825	108790	154624
826	108917	154485
827	109040	154342
828	109162	154196
829	109281	154047
830	109401	153898
831	109520	153750
832	109649	153614
833	109779	153480
834	109896	153328
835	110014	153177
836	110144	153044
837	110273	152909
838	110431	152813
839	110601	152735
840	110754	152633
841	110920	152548
842	111079	152454
843	111226	152343
844	111367	152224
845	111490	152080
846	111627	151955
847	111756	151819
